Referência,Tipo de artigo,Ano,Periódico,Presença de parceria internacional,Presença de parceria nacional ,Presença de parceria regional,Presença de parceria institucional,Presença de discente ou egresso do Programa,Presença de discente da UFPA,Artigo do trabalho final de discente do programa,O estudo está associado a produção técnica ou tecnológica com registro,Você está entre os dois primeiros ou dois últimos autores do artigo,Um discente ou egresso do programa está entre os dois primeiros ou últimos autores do artigo
Costa et al 2026,Original,2026,MethodsX,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não
Miranda et al 2026,Original,2026,Journal of Neuroscience Methods,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim
de Assis et al 2026,Original,2026,IEEE Access,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Kulis et al 2026,Original,2026,physiologia,Sim,Não,Não,Sim,Não,Não,Não,Não,Não ,Não
Fernandes et al 2026,Original,2026,Brazilian Journal of Psychiatry,Sim,Sim,Não,Não,Não,Não,Não,Não,Não ,Não
Azevedo et al 2025,Original,2025,Digital Health,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim
Almeida et al 2025,Original,2025,Frontiers in Neuroscience,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Silva et al 2025,Original,2025,Brazilian Journal of Medical and Biological Research,Não,Sim,Não,Não,Não,Não,Não,Não,Não ,Não
Lopes et al 2025,Original,2025,Psicologia: Reflexão e Crítica,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não
Costa et al 2025,Revisão,2025,Saúde Coletiva,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
Callegari & Souza 2025,Editorial,2025,Fisioterapia Pesquisa,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Não
Lima & Souza 2025,Original,2025,Acervo Saúde,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não
Costa et al 2025 b,Perspectiva,2025,Frontiers in Digital Health,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não
Farias et al 2025,Revisão,2025,Acervo Saúde,Não,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Não
Sá et al 2025,Original,2025,Advances in Rehabilitation,Não,Sim,Não,Sim,Não,Não,Não,Não,Não ,Não
Parente et al 2025,Original,2025,Vision Research,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não
Ferreira et al 2025,Original,2025,IEEE Access,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não ,Sim
Costa et al 2025,Original,2025,Psychology & Neuroscience,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não ,Não
Paranhos et al 2025,Original,2025,European Archives of Psychiatry and Clinical Neuroscience,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não
Costa et al d,Revisão,2025,Journal of Current Ophthalmology,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não
Ferreira et al 2025 b,Original,2025,Scientific Reports,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não ,Não
Monteiro et al 2025,Revisão,2025,Psicologia: Teoria e Pesquisa,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim
Miranda et al 2025,Original,2025,Journal of Biophotonics,Não,Não,Sim,Sim,Não,Não ,Não ,Não,Sim,Não
Souza et al 2025,Editorial,2025,Frontiers in Psychology,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Não
